Primary key|Author 1|Author 2|Title|Original MSS.|Pub. Date|Link|Notes|Genre 1|Genre 2|Genre 3|Publisher
1|Allingham, William||Varieties in Prose, vol. 2||1893|https://hdl.handle.net/2027/uc2.ark:/13960/t35146n3g||travel|history||
2|Whitehead, Sarah Robertson||Nelly Armstrong: a story of the day, vol. 1||1853|https://hdl.handle.net/2027/uiuo.ark:/13960/t2j686n2c|On database: au. 'Armstrong, Nell'|fiction|romance||
3|Whitehead, Sarah Robertson||Nelly Armstrong: a story of the day, vol. 2||1853|https://hdl.handle.net/2027/uiuo.ark:/13960/t4zg7d28s|On database: au. 'Armstrong, Nell'|fiction|romance||
4|Aytoun, Douglas||Braes o' Balquhidder||1896|http://www.worldcat.org/oclc/556963603||fiction|adventure||
5|Bailey, James Montgomery||England from a Back-Window||1878|https://hdl.handle.net/2027/aeu.ark:/13960/t7dr3823t||non-fiction|travel||
6|Beatty, W.||Secretar. Founded on the story of the Casket Letters||1897|http://www.worldcat.org/oclc/229967229||fiction|historical fiction||
7|Bede, Cuthbert||A Tour in Tartan-Land||1863|https://hdl.handle.net/2027/nyp.33433069349938||non-fiction|travel|history|
8|Bertram, James Glass||Story of a Stolen Heir, vol. 1||1858|https://archive.org/details/storyastolenhei01bertgoog||fiction|crime and mystery||
9|Bertram, James Glass||Story of a Stolen Heir, vol. 2||1858|http://www.worldcat.org/oclc/54317151||fiction|crime and mystery||
10|Bertram, James Glass||Story of a Stolen Heir, vol. 3||1858|https://archive.org/details/storyastolenhei00bertgoog||fiction|crime and mystery||
11|Brown, Peter Hume||Early Travellers in Scotland||1891|https://hdl.handle.net/2027/mdp.39015030640182||non-fiction|essays and journals|travel|
12|Cameron, Mary Emily||House of Achendaroch: an Old Maid's Story||1878|http://www.worldcat.org/oclc/22201616||fiction|romance||
13|Campbell, C. M.||Deilie Jock||1897|http://www.worldcat.org/oclc/53796668||fiction|adventure|travel|
14|Caumont, Mary||Hanleys; or, Wheels within Wheels||1888|http://www.worldcat.org/oclc/557036881||fiction|romance|humour and satire|
15|Chalmers, James||Renegade||1895|http://www.worldcat.org/oclc/267037926||fiction|historical fiction|war fiction|
16|Coghill, James Henry||Abroad. Journal of a Tour Through Great Britain and on the Continent||1868|https://hdl.handle.net/2027/uc1.$b282701||non-fiction|history|travel|
17|Coleman, John||Curly. An Actor's Story||1885|https://archive.org/details/curlyactorsstory00cole||fiction|adventure|romance|
18|Colquhoun, Frances Mary||A Bit of the Tartan||1895|http://www.worldcat.org/oclc/80970664||fiction|children's fiction||
19|Cook, Joel||A Holiday Tour in Europe||1879|https://hdl.handle.net/2027/loc.ark:/13960/t0cv51638||non-fiction|essays and journals|travel|
20|Cord, William Harlan||A Knight Templar Abroad||1885|https://hdl.handle.net/2027/loc.ark:/13960/t1bk2242c||non-fiction|travel|history|
21|Cowley, Percy Tunnicliff||In the Western Highlands of Scotland||1890|http://www.worldcat.org/oclc/315498686||non-fiction|travel||
22|Crockett, Samuel Rutherford||The Black Douglas||1899|https://archive.org/details/cu31924013468529||fiction|adventure|historical fiction|
23|Crockett, Samuel Rutherford||Bog-Myrtle and Peat||1895|https://archive.org/details/bogmyrtlepeattal00crocuoft||fiction|myths and legends|short stories|
24|Crockett, Samuel Rutherford||Cleg Kelly, Arab of the City||1896|https://archive.org/details/clegkellyarabci03crocgoog||fiction|adventure||
25|Crockett, Samuel Rutherford||Lilac Sunbonnet||1894|https://archive.org/details/lilacsunbonnet00croc||fiction|romance||
26|Crockett, Samuel Rutherford||The Stickit minister||1893|https://hdl.handle.net/2027/hvd.hwirmq||fiction|short stories||
27|Davidson, John||Miss Armstrong's and other circumstances||1896|https://hdl.handle.net/2027/coo1.ark:/13960/t0tq6fx9k||fiction|short stories||
28|Dibdin, Charles James||The Cleekim Inn||1896|https://hdl.handle.net/2027/uc1.$b111888||fiction|adventure|historical fiction|
30|Downe, Walmer||Bloom of faded years||1896|http://www.worldcat.org/oclc/315595080||fiction|romance||
31|Downe, Walmer||By Shamrock and Heather||1898|http://www.worldcat.org/oclc/41483177||fiction|romance|adventure|
32|Doyle, Arthur Conan||A Duet, with an Occasional Chorus||1899|https://archive.org/details/cu31924013468529||fiction|romance||
