Authors|Gender
A, Yankee|unknown
Abbott, Jacob|male
Airy, Osmund (ed.)|male
Alexander, Jane|female
Allingham, William|male
Andrews, Evangeline Walker (intro.)|female
Anon.|unknown
Atkinson, Eleanor|female
Aytoun, Douglas|male
Bailey, James Montgomery|male
Baird, Robert (intro.)|male
Balfour, Andrew|male
Balfour, James|male
Ballantyne, Robert Michael|male
Barnes, John Henry|male
Barr, Amelia Edith Huddleston|female
Barrie, James Matthew|male
Bates, James Hale|unknown
Beatty, Daniel F.|male
Beatty, W.|unknown
Beauchamp, Lou J.|male
Bede, Cuthbert|male
Begbie, Harold|male
Bertram, James Glass|male
Bidwell, George|male
Bill, Windy|unknown
Bone, David William|male
Boswell, James|male
Boswell, John|male
Botfield, Beriah|unknown
Boyd, Andrew Kennedy Hutchison|male
Brewer, David Josiah|male
Broomfield, James Polwarth|male
Brown, George Douglas|male
Brown, John|male
Brown, Peter Hume|male
Brown, Thomas|male
Browne, Junius Henri|male
Buchan, John|male
Burchard, Oscar Roger|male
Burns, Robert|male
Burr, Amelia Josephine (ed.)|female
Burton, John Hill|male
Butler, Charles J.|male
Butlin, Ron|male
Butterworth, Hezekiah|male
Callander, John|male
Cameron, Mary Emily|female
Campbell, Alexander|male
Campbell, C. M.|unknown
Carlyle, Alexander|male
Carlyle, Jane Welsh|female
Carlyle, Thomas|male
Carnegie, Andrew|male
Carnegie, Andrew|male
Carson, Norma Bright|female
Carswell, Catherine MacFarlane|female
Caumont, Mary|female
Chalmers, James|male
Chalmers, Thomas|male
Chambers, Robert|male
Chambers, William|male
Channing, Walter|male
Chapple, Joe Mitchell|male
Choate, Joseph Hodges|male
Chuttraputtee, Rajah Ram|unknown
Claire, Regi|unknown
Clough, Arthur Hugh|male
Cockburn, Henry|male
Coghill, James Henry|male
Coghill, Mrs Harry (ed.)|female
Coleman, John|male
Colquhoun, Frances Mary|female
Colton, Calvin|male
Combe, George|male
Conlen, William James|male
Connor, Ralph|male
Cook, Joel|male
Cooke, Arthur Bledsoe|male
Cooper, Charles Alfred|male
Cooper, James Fenimore|male
Copplestone, Bennet|unknown
Cord, William Harlan|male
Cowley, Percy Tunnicliff|male
Craik, Dinah Maria Mulock|female
Crockett, Samuel Rutherford|male
Cromwell, Oliver|male
Crowberry, Daniel|male
Culler, Lucy Yeend|female
Cunningham, Allan|male
Cuyler, Theodore Ledyard|male
Dana, Richard Henry|male
Davidson, John|male
Dawson, Edward Walter|male
De Quincey, Thomas|male
Defoe, Daniel|male
Dibdin, Charles James|male
Dibdin, Thomas|male
Dickens, Charles|male
Dickinson, Andrew|male
Didier, Franklin James|male
Doane, George Hobart|male
Dodge, Robert|male
Dods, Marcus|male
Douglas, David|male
Downe, Walmer|unknown
Doyle, Arthur Conan|male
Drummond, P. R.|unknown
Durbin, John Price|male
Dyer, Catherine Cornelia Joy|female
Eudora|unknown
Evangeline|unknown
Ferrier, James Frederick (ed.)|male
Ferrier, Susan|female
Fields, James Thomas|male
Fletcher, Eliza Dawson|female
Forbes, Elizabeth A.|female
Fraser, Campbell (preface)|unknown
Frost, Arthur Broadfield|male
Froude, James Anthony|male
Fuller, Henry|male
Fuller, Henry Starkey|male
Fuller, Hiram|unknown
Furniss, Harry|male
Galth, John|male
Gibson, William|male
Gilfillan, George|male
Glass, Chester|unknown
Gleig, George Robert|male
Gordon, Mary Wilson|female
Gore, Leslie|unknown
Gough, John Bartholomew|male
Gower, Ronald Sutherland|male
Graham, Clementina Stirling|female
Graham, Stephen|male
Grant, James|male
Gray, Asa|unknown
Gray, Jane Loring (ed.)|female
Gray, Patrick|male
Gray, Thomas|male
Greeley, Horace|male
Greenwood, Grace|female
Griscom, John|male
Groome, Francis Hindes|male
Guild, Curtis|male
H. G.|unknown
Haight, Canniff|unknown
Hall, Basil|male
Hall, Samuel Carter|male
Hamilton, Thomas|male
Hamilton, Thomas|male
Hanna, William|male
Harding, Edward J. (ed.)|male
Hardy, Robina F.|female
Hare, Augustus J. C.|male
Hargreaves, Thomas|male
Harker, Lizzie Allen|female
Harper, George McLean|male
Haven, Gilbert|male
Hawthorne, Nathaniel|male
Hawthorne, Sophia Peabody|female
Hay, Ian|male
Hazlitt, William Carew|male
Helps, Arthur (ed.)|male
Herd, David|male
Higginson, H. Talbot|unknown
Hogg, James|male
Holloway, Henry Clay|male
Holmes, Burton|unknown
Holmes, Oliver Wendall|male
Horner, Francis|male
Horner, Leonard (ed.)|male
Howell, Charles Fish|male
Hoyt, James M.|male
Hubbell, Orrin Z.|unknown
Hume, David|male
Humphrey, Heman|unknown
Hunter, Robert|male
Hurlbut, Jesse Lyman (intro.)|male
Hutton, Laurence|male
Hutton, William|male
Hyatt, Alfred Henry|male
Ireland, Annie Elizabeth Nicholson|female
Irving, Washington|unknown
Jerome, Jerome K.|male
Johnson, Jesse|male
Johnston, David|male
Johnston, Richard Malcolm (ed.)|male
Johnstone, Christian Isobel|unknown
Johnstone, Doug|male
Kesson, John (transl.)|male
Khurshed-ji, Ardsher|unknown
King, Horatio|male
Kirk, Thomas|male
Knighton, William|male
Knowles, Robert Edward|male
Knox, John|male
Kohl, Johann Georg|male
Lady Knighton (ed.)|unknown
Laing, David (ed.)|male
Lambert, George|male
Lane, Elinor Macartney|female
Lang, John &amp; Lang, Jean|unknown
Lauderdale, John Maitland|male
Le Queux, William|male
Leighton, Alexander|male
Lewes, Charles Lees|male
Linskill, Charles Dorrance|male
Linton, Eliza Lynn|female
Livingston, Josiah|male
Locke, James|male
Lockhart, John Gibson|male
Lucas, Edward Verrall|male
Lyall, Edna|female
MacDiarmid, Hugh|male
MacDonald, John|male
Mackay, Thomas (ed.)|male
Mackenzie, Robert Shelton (memoirs &amp; notes)|male
Maidment, James (ed.)|male
Manly, John Matthews|male
Marchbank, Agnes|female
Martin, Edward Sandford (ed.)|male
Masson, Rosaline Orme|female
Maxwell, William Hamilton|male
McCall Smith, Alexander|male
McCormick, Richard|male
McLellan, Henry Blake|male
McLellan, Isaac (ed.)|male
Melish, John|male
Melville, George John Whyte|male
M'Govan, James|male
Miller, Daniel|male
Miller, Hugh|male
Miller, Lydia Mackenzie Falconer (ed.)|female
Mitchell, Silas Weir|male
M'Lehose, Agnes|female
Moffat, James Clement|male
Moncreiff, Frederick Charles|male
Moore, Thomas|male
Moore, Walter William|male
Moran, Benjamin|male
Morford, Henry|male
Morley, Christopher|male
Morrison, Leonard Allison|male
Mudie, Robert|male
Munro, Neil|male
Napier, Macvey|unknown
Nasymth, James|male
Newell, William Whiting|male
North, Christopher|male
Nye, Emma M. (ed.)|female
Nye, Stephen Girard|male
Ochiltree, Henry|male
O'Donnell, Elliott|male
O'Hara, Edward H.|male
Olpihant, Margaret|female
Omond, George W. T. (ed.)|male
Omond, George William Thomson|male
Optic, Oliver|male
Orczy, Baroness Emma|female
O'Rell, Max|male
Osbourne, Lloyd|male
Overton, Grant Martin|male
Oxenham, John|male
Pae, David|male
Pairpoint, Alfred J.|male
Palmer, Phoebe|female
Parker, Mrs William|female
Paston, George|male
Patten, William|male
Peabody, Andrew Preston|male
Pease, Howard|male
Pennant, Thomas|male
Percy, Thomas|male
Phelps, William Lyon (ed.)|male
Picken, Andrew|male
Pitt, Sarah|female
Poe, Clarence Hamilton|male
Pollard, Percival|male
Porte|unknown
Ramsay, Edward Bannerman|male
Ray, Catherine|female
Reade, Charles|male
Rees, Byron Johnson|male
Rees, Laura L.|female
Reid, John Thomas|male
Robertson, James|male
Robinson, Henry Crabb|male
Roger, James Cruickshank|male
Rogers, Charles|male
Rose, Mrs William G.|female
Rosengarten, Mary D. Richardson|female
Rusling, James Fowler|male
Russell, Addison Peale|male
Russell, James|male
Russell, John (ed.)|male
Ryley, Samuel Williams|male
Sanders, Alvin Howard|male
Schaw, Janet|female
Schetky, Susan Frances Ludomilla|female
Scott, Walter|male
Scott, William|male
Scotus, Johannes|male
Scotus, Johannes|male
Scripps, James Edmund|male
Semple, David W.|male
Setoun, Gabriel|male
Shand, Alexander Innes|male
Shelley, Mary|female
Silliman, Benjamin|male
Sime, William|male
Sime, William|male
Simmonds, Irene|female
Simond, Louis|male
Simpson, Evelyn Blantyre|female
Simson, James|male
Simth, John Jay|male
Sinclair, Catherine|female
Smeaton, William Henry Oliphant|male
Smiles, Samuel|male
Smith, Alexander|male
Smith, William|male
Smollett, Tobias|male
Snowden, James Henry|male
Snyder, Marcia Penfield|female
Southworth, Emma Dorothy Eliza Nevitte|female
Spark, Muriel|female
Spence, Catherine Helen|female
Spofford, Ainsworth Rand|unknown
St. John, Charles Henry|male
Stephens, Riccardo|male
Stevenson, Robert Louis|male
Stevenson, William|male
Stine, Milton Henry|male
Stowe, Harriet Beecher|female
Strathesk, John|male
Swan, Annie Shepherd|female
Sweat, Margaret Jane Mussey|female
Tadlock, Clara Moyse|female
Talmage, Eleanor McCutcheon (ed.)|female
Talmage, Thomas de Witt|male
Taylor, Charles Maus|male
Taylor, William Mackergo (intro.)|male
Tearle, Chistian|unknown
Terry, Ellen|female
Terry, Milton Spenser|male
Thompson, Alice|female
Thompson, Ella W.|female
Thompson, Mrs E. H.|female
Thorburn, Grant|male
Thoresby, Ralph|male
Thwing, Charles Franklin (ed.)|male
Todd, George Eyre|male
Tomes, Robert|male
Tomlinson, Everett Titsworth|male
Towne, Charles Hanson|male
Trench, Francis|male
Turnbull, William (ed.)|male
Tweedale, Violet|female
Tytler, Sarah|female
Vanderslice, John|male
Verne, Joules|unknown
Victoria, Queen|unknown
Walford, Lucy Bethia|female
Waller, Mary Ella|female
Ware, Mary Clementina Hibbert|female
Warren, Arthur|male
Watson, Samuel|male
Watt, Lauchlan MacLean|unknown
Welsh, Irvine|male
West, Edward W. (ed.)|male
West, Rebecca|female
Wheaton, Nathaniel Sheldon|male
White, Adam|male
Whitehead, Sarah Robertson|female
Whyte, William|male
Wiggin, Kate Douglas Smith|female
Wight, John Green|male
Wilkie, Franc Bangs|male
Wilkinson, Tate|male
Williams, Charles|male
Williams, Hugh William|male
Williams, Rudolph|male
Williamson, Margaret|female
Willis, Nathaniel Parker|male
Wilson, Daniel|male
Wilson, Jessie Aitken|female
Wilson, John|male
Wilson, John Mackay|male
Wilson, Julia Virginia|female
Winchester, Charles Wesley|male
Winslow, Forbes Edward|male
Winter, Willliam|unknown
Wistan, Aden|male
Wood, Charles|male
Wyld, Robert Stodart|male
Wynn, William H. (intro.)|male
Young, Samuel|male
